Year,City,Population,In-migration,Out-migration,Net-migration
2016,IZMIR,4223545,122668,98902,23766
2016,KARS,289786,10209,16590,-6381
2016,KASTAMONU,376945,20577,18898,1679
2016,KAYSERI,1358980,35573,35540,33
2016,KIRKLARELI,351684,16882,13175,3707
2016,KIRSEHIR,229975,12188,11362,826
2016,KOCAELI,1830772,85602,60479,25123
2016,KONYA,2161303,56500,54712,1788
2016,KUTAHYA,573642,18382,20691,-2309
2016,MALATYA,781305,27777,27613,164
2016,MANISA,1396945,39999,35685,4314
2016,KAHRAMANMARAS,1112634,27307,28971,-1664
2016,MARDIN,796237,21439,38823,-17384
2016,MUGLA,923773,39076,31520,7556
2016,MUS,406501,11309,21683,-10374
2016,NEVSEHIR,290895,11703,11091,612
2016,NIGDE,351468,14823,13589,1234
2016,ORDU,750588,42995,27229,15766
2016,RIZE,331048,15006,15604,-598
2016,SAKARYA,976948,35228,28965,6263
2016,SAMSUN,1295927,41687,41187,500
2016,SIIRT,322664,10775,15068,-4293
2016,SINOP,205478,10190,9784,406
2016,SIVAS,621224,22966,26369,-3403
2016,TEKIRDAG,972875,56536,32290,24246
2016,TOKAT,602662,36572,33380,3192
2016,TRABZON,779379,28680,26775,1905
2016,TUNCELI,82193,4822,7031,-2209
2016,SANLIURFA,1940627,38662,49789,-11127
2016,USAK,358736,11737,10701,1036
2016,VAN,1100190,28902,49035,-20133
2016,YOZGAT,421041,17736,21825,-4089
2016,ZONGULDAK,597524,19991,21933,-1942
2016,AKSARAY,396673,15234,12294,2940
2016,BAYBURT,90154,16981,6653,10328
2016,KARAMAN,245610,9519,9813,-294
2016,KIRIKKALE,277984,14776,13300,1476
2016,BATMAN,576899,18757,21489,-2732
2016,SIRNAK,483788,11102,24122,-13020
2016,BARTIN,192389,8940,8108,832
2016,ARDAHAN,98335,5164,6880,-1716
2016,IGDIR,192785,6721,9368,-2647
2016,YALOVA,241665,12825,10493,2332
2016,KARABUK,242347,16719,13416,3303
2016,KILIS,130825,5740,8043,-2303
2016,OSMANIYE,522175,19558,17683,1875
2016,DUZCE,370371,15958,11119,4839
2015,ADANA,2183167,52647,64192,-11545
2015,ADIYAMAN,602774,18523,24064,-5541
2015,AFYONKARAHISAR,709015,22922,26226,-3304
2015,AGRI,547210,16597,32174,-15577
2015,AMASYA,322167,13957,15092,-1135
2015,ANKARA,5270575,204048,153001,51047
2015,ANTALYA,2288456,96441,68374,28067
2015,ARTVIN,168370,9050,10969,-1919
2015,AYDIN,1053506,42743,37689,5054
2015,BALIKESIR,1186688,43296,48892,-5596
2015,BILECIK,212361,10890,9806,1084
2015,BINGOL,267184,9906,13122,-3216
2015,BITLIS,340449,11936,18801,-6865
2015,BOLU,291095,14681,12401,2280
2015,BURDUR,258339,12537,12247,290
2015,BURSA,2842547,84253,64558,19695
2015,CANAKKALE,513341,25096,23005,2091
2015,CANKIRI,180945,12702,16148,-3446
2015,CORUM,525180,16286,22636,-6350
2015,DENIZLI,993442,30185,24961,5224
2015,DIYARBAKIR,1654196,36124,56025,-19901
2015,EDIRNE,402537,18779,17458,1321
2015,ELAZIG,574304,22170,21699,471
2015,ERZINCAN,222918,14062,16766,-2704
2015,ERZURUM,762321,29624,41803,-12179
2015,ESKISEHIR,826716,36041,28298,7743
2015,GAZIANTEP,1931836,46435,48858,-2423
2015,GIRESUN,426686,22308,26942,-4634
2015,GUMUSHANE,151449,20437,17737,2700
2015,HAKKARI,278775,8216,12983,-4767
2015,HATAY,1533507,32868,41519,-8651
2015,ISPARTA,421766,19042,18659,383
2015,MERSIN,1745221,56171,58404,-2233
2015,ISTANBUL,14657434,453407,402864,50543
2015,IZMIR,4168415,126238,105389,20849
2015,KARS,292660,11328,19809,-8481
2015,KASTAMONU,372633,21601,18092,3509
2015,KAYSERI,1341056,37832,36087,1745
2015,KIRKLARELI,346973,16098,13816,2282
2015,KIRSEHIR,225562,11928,11544,384
2015,KOCAELI,1780055,87158,56927,30231
2015,KONYA,2130544,56817,57056,-239
2015,KUTAHYA,571463,19447,22337,-2890
2015,MALATYA,772904,26925,31368,-4443
2015,MANISA,1380366,39558,36736,2822
2015,KAHRAMANMARAS,1096610,26856,32272,-5416
2015,MARDIN,796591,24255,34592,-10337
2015,MUGLA,908877,42112,37663,4449
2015,MUS,408728,12752,23855,-11103
2015,NEVSEHIR,286767,11144,11955,-811
2015,NIGDE,346114,13878,15959,-2081
2015,ORDU,728949,29835,32600,-2765
2015,RIZE,328979,15514,18936,-3422
2015,SAKARYA,953181,35943,28492,7451
2015,SAMSUN,1279884,41718,44627,-2909
2015,SIIRT,320351,10505,16166,-5661
2015,SINOP,204133,10059,11274,-1215
2015,SIVAS,618617,25319,33501,-8182
2015,TEKIRDAG,937910,54482,33937,20545
2015,TOKAT,593990,34586,40805,-6219
2015,TRABZON,768417,27314,32454,-5140
2015,TUNCELI,86076,6996,8133,-1137
2015,SANLIURFA,1892320,40135,50580,-10445
2015,USAK,353048,11044,11001,43
2015,VAN,1096397,30492,48061,-17569
2015,YOZGAT,419440,14933,26804,-11871
2015,ZONGULDAK,595907,18244,25340,-7096
2015,AKSARAY,386514,12205,14164,-1959
2015,BAYBURT,78550,7150,9281,-2131
2015,KARAMAN,242196,9195,9865,-670
2015,KIRIKKALE,270271,12585,15204,-2619
2015,BATMAN,566633,18872,23216,-4344
2015,SIRNAK,490184,11554,23615,-12061
2015,BARTIN,190708,8872,8113,759
2015,ARDAHAN,99265,5630,7802,-2172
2015,IGDIR,192435,7321,10589,-3268
2015,YALOVA,233009,13834,11497,2337
2015,KARABUK,236978,17017,12567,4450
2015,KILIS,130655,6776,6593,183
2015,OSMANIYE,512873,18567,19303,-736
2015,DUZCE,360388,13434,12088,1346
2014,ADANA,2165595,51562,63181,-11619
2014,ADIYAMAN,597835,16578,24330,-7752
2014,AFYONKARAHISAR,706371,21414,27100,-5686
2014,AGRI,549435,14480,30995,-16515
2014,AMASYA,321913,12970,14817,-1847
2014,ANKARA,5150072,203621,163612,40009
2014,ANTALYA,2222562,93057,64631,28426
2014,ARTVIN,169674,9551,10187,-636
2014,AYDIN,1041979,45842,32396,13446
2014,BALIKESIR,1189057,57551,39918,17633
2014,BILECIK,209925,10090,10114,-24
2014,BINGOL,266019,9400,12852,-3452
2014,BITLIS,338023,11447,17470,-6023
2014,BOLU,284789,13264,13065,199
2014,BURDUR,256898,10235,12271,-2036
2014,BURSA,2787539,80717,65027,15690
2014,CANAKKALE,511790,27429,20540,6889
2014,CANKIRI,183550,14519,23080,-8561
2014,CORUM,527220,15875,24652,-8777
2014,DENIZLI,978700,28279,24771,3508
2014,DIYARBAKIR,1635048,36920,48019,-11099
2014,EDIRNE,400280,16431,17108,-677
2014,ELAZIG,568753,19724,24162,-4438
2014,ERZINCAN,223633,15450,13641,1809
2014,ERZURUM,763320,27994,45209,-17215
2014,ESKISEHIR,812320,35927,27977,7950
2014,GAZIANTEP,1889466,46438,44415,2023
2014,GIRESUN,429984,26857,23620,3237
2014,GUMUSHANE,146353,18811,16071,2740
2014,HAKKARI,276287,7187,10897,-3710
2014,HATAY,1519836,32678,39181,-6503
2014,ISPARTA,418780,17966,19930,-1964
2014,MERSIN,1727255,55598,54843,755
2014,ISTANBUL,14377018,438998,424662,14336
2014,IZMIR,4113072,124439,101447,22992
2014,KARS,296466,10280,20020,-9740
2014,KASTAMONU,368907,17539,18163,-624
2014,KAYSERI,1322376,40957,33374,7583
2014,KIRKLARELI,343723,14553,13678,875
